id,class,subClass,name,classCode,subCode,code,title,selectable,inactive,deleted,createdBy,createdAt,updatedBy,updatedAt
1,asset,assetClass,assetClass,1,0,100,Asset,0,0,0,DEMO,2024-07-30,DEMO,2024-07-30
2,asset,nonCurrentAsset,propertyPlant&Equipment,1,1,111,"Property Plant & Equipment",1,0,0,DEMO,2024-07-30,DEMO,2024-07-30
3,asset,nonCurrentAsset,otherNonCurrentAsset,1,2,121,"Other Non Current Asset",1,0,0,DEMO,2024-07-30,DEMO,2024-07-30
4,asset,currentAsset,bank,1,3,131,Bank,1,0,0,DEMO,2024-07-30,DEMO,2024-07-30
5,asset,currentAsset,cash,1,3,132,Cash,1,0,0,DEMO,2024-07-30,DEMO,2024-07-30
6,asset,currentAsset,paymentClearing,1,3,133,"Payment Clearing",1,0,0,DEMO,2024-07-30,DEMO,2024-07-30
7,asset,currentAsset,accountReceivable,1,4,141,"Account Receivable",1,0,0,DEMO,2024-07-30,DEMO,2024-07-30
8,asset,currentAsset,accountReceivableControl,1,4,142,"Account Receivable Control",1,0,0,DEMO,2024-07-30,DEMO,2024-07-30
9,asset,currentAsset,otherCurrentAsset,1,4,143,"Other Current Asset",1,0,0,DEMO,2024-07-30,DEMO,2024-07-30
10,asset,currentAsset,inventory,1,5,151,Inventory,1,0,0,DEMO,2024-07-30,DEMO,2024-07-30
11,asset,currentAsset,inventoryControl,1,5,152,"Inventory Control",1,0,0,DEMO,2024-07-30,DEMO,2024-07-30
12,asset,currentAsset,inventoryAdjustment,1,5,153,"Inventory Adjustment",1,0,0,DEMO,2024-07-30,DEMO,2024-07-30
13,liability,liabilityClass,liabilityClass,2,0,200,Liability,0,0,0,DEMO,2024-07-30,DEMO,2024-07-30
14,liability,nonCurrentLiability,nonCurrentLiability,2,1,211,"Non-current Liability",1,0,0,DEMO,2024-07-30,DEMO,2024-07-30
15,liability,currentLiability,accountPayable,2,3,231,"Account Payable",1,0,0,DEMO,2024-07-30,DEMO,2024-07-30
16,liability,currentLiability,accountPayableControl,2,3,232,"Account Payable Control",1,0,0,DEMO,2024-07-30,DEMO,2024-07-30
17,liability,currentLiability,accruals,2,4,241,Accruals,1,0,0,DEMO,2024-07-30,DEMO,2024-07-30
18,liability,currentLiability,otherCurrentLiability,2,5,251,"Other Current Liability",1,0,0,DEMO,2024-07-30,DEMO,2024-07-30
19,equity,equityClass,equityClass,3,0,300,Equity,0,0,0,DEMO,2024-07-30,DEMO,2024-07-30
20,equity,equity,equity,3,1,311,Equity,1,0,0,DEMO,2024-07-30,DEMO,2024-07-30
21,equity,equity,retainedEarnings,3,2,321,"Retained Earnings",0,0,0,DEMO,2024-07-30,DEMO,2024-07-30
22,income,incomeClass,incomeClass,4,0,400,Income,0,0,0,DEMO,2024-07-30,DEMO,2024-07-30
23,income,income,income,4,1,411,Income,1,0,0,DEMO,2024-07-30,DEMO,2024-07-30
24,income,income,otherIncome,4,2,421,"Other Income",1,0,0,DEMO,2024-07-30,DEMO,2024-07-30
25,expenses,expensesClass,expensesClass,5,0,500,Expenses,0,0,0,DEMO,2024-07-30,DEMO,2024-07-30
26,expenses,costOfGoodsSold,costOfGoodsSold,5,1,511,"Cost of Goods Sold",1,0,0,DEMO,2024-07-30,DEMO,2024-07-30
27,expenses,expenses,operatingExpenses,5,2,521,"Operating Expenses",1,0,0,DEMO,2024-07-30,DEMO,2024-07-30
28,expenses,expenses,otherExpenses,5,3,531,"Other Expenses",1,0,0,DEMO,2024-07-30,DEMO,2024-07-30
